"0","-----"
"1",".----"
"2","..---"
"3","...--"
"4","....-"
"5","....."
"6","-...."
"7","--..."
"8","---.."
"9","----."
"À",".-"
"Á","-..."
"Â",".--"
"Ã","--."
"Ä","-.."
"Å","."
"¨","---------------------------"
"Æ","...-"
"Ç","--.."
"È",".."
"É",".---"
"Ê","-.-"
"Ë",".-.."
"Ì","--"
"Í","-."
"Î","---"
"Ï",".--."
"Ð",".-."
"Ñ","..."
"Ò","-"
"Ó","..-"
"Ô","..-."
"Õ","...."
"Ö","-.-."
"×","---."
"Ø","----"
"Ù","--.-"
"Ú",".--.-."
"Û","-.--"
"Ü","-..-"
"Ý","..-."
"Þ","..--"
"ß",".-.-"
"_","..--.-"
"!","-.-.--"
"$","...-..-"
"&",".-..."
"'",".----."
"(","-.--."
")","-.--.-"
"+",".-.-."
",","--..--"
"-","-....-"
".",".-.-.-"
"/","-..-."
":","---..."
";","-.-.-."
"=","-...-"
"?","..--.."
"@",".--.-."